"active:golf","451","Golf Courses"
"active:horsebackriding","380","Equestrian"
"active:basketballcourts","385","Gyms and Fitness Centers"
"active:beaches","143","Clothing and Accessories"
"active:gokarts","400","Recreation Centers"
"active","68","Chiropractors"
"active:fitness:yoga","414","Yoga and Pilates"
"active:sports_clubs","385","Gyms and Fitness Centers"
"active:hot_air_balloons","217","Events and Event Planning"
"active:amusementparks","319","Amusement Parks"
"active:fishing","391","Hunting and Fishing"
"active:fitness:dancestudio","379","Dance"
"active:gun_ranges","383","Gun Ranges"
"active:horseracing","75","Medical Supplies and Labs"
"active:fitness:gyms","385","Gyms and Fitness Centers"
"active:fitness","385","Gyms and Fitness Centers"
"active:bikerentals","129","Bicycles"
"active:fitness:healthtrainers","385","Gyms and Fitness Centers"
"active:fitness:pilates","385","Gyms and Fitness Centers"
"active:fitness:martialarts","377","Combat Sports"
"active:mini_golf","451","Golf Courses"
"active:amateursportsteams","280","Beauty Salons and Barbers"
"active:parks","118","Parks"
"active:leisure_centers","451","Golf Courses"
"active:football","404","Soccer"
"active:gymnastics","384","Gymnastics"
"active:tubing","438","Resorts"
"active:fitness:boxing","395","Personal Trainers"
"active:badminton","170","Sporting Goods"
"active:recreation","385","Gyms and Fitness Centers"
"active:archery","170","Sporting Goods"
"active:zoos","371","Zoos, Aquariums and Wildlife Sanctuaries"
"active:fitness:bootcamps","385","Gyms and Fitness Centers"
"active:discgolf","451","Golf Courses"
"active:paintball","406","Stadiums and Arenas"
"active:mountainbiking","170","Sporting Goods"
"active:bowling","322","Bowling"
"active:lasertag","319","Amusement Parks"
"active:climbing","177","Businesses and Services"
"active:summer_camps","432","Lodging"
"active:skatingrinks","402","Skating"
"active:surfing","452","Surfing"
"active:swimmingpools","260","Pools and Spas"
"active:boating","409","Boating"
"active:tennis","170","Sporting Goods"
"active:fitness:barreclasses","385","Gyms and Fitness Centers"
"active:spinclasses","106","Weight Loss and Nutritionists"
"active:playgrounds","177","Businesses and Services"
"active:rafting","411","Rafting"
"active:rock_climbing","392","Rock Climbing"
"active:hiking","170","Sporting Goods"
"active:diving","412","Scuba Diving"
"active:trampoline","400","Recreation Centers"
"active:paddleboarding","173","Toys"
"active:fitness:swimminglessons","413","Swimming"
"active:diving:scuba","32","Driving Schools"
"active:aquariums","371","Zoos, Aquariums and Wildlife Sanctuaries"
"active:skydiving","440","Travel Agents and Tour Operators"
