"active","68","Chiropractors"
"active:amateursportsteams","280","Beauty Salons and Barbers"
"active:amusementparks","319","Amusement Parks"
"active:aquariums","167","Pets"
"active:archery","170","Sporting Goods"
"active:badminton","170","Sporting Goods"
"active:basketballcourts","385","Gyms and Fitness Centers"
"active:beaches","143","Clothing and Accessories"
"active:bikerentals","129","Bicycles"
"active:boating","409","Boating"
"active:bowling","322","Bowling"
"active:climbing","177","Businesses and Services"
"active:discgolf","451","Golf Courses"
"active:diving","412","Scuba Diving"
"active:diving:scuba","32","Driving Schools"
"active:fishing","391","Hunting and Fishing"
"active:fitness","385","Gyms and Fitness Centers"
"active:fitness:barreclasses","385","Gyms and Fitness Centers"
"active:fitness:bootcamps","385","Gyms and Fitness Centers"
"active:fitness:boxing","395","Personal Trainers"
"active:fitness:dancestudio","379","Dance"
"active:fitness:gyms","385","Gyms and Fitness Centers"
"active:fitness:healthtrainers","385","Gyms and Fitness Centers"
"active:fitness:martialarts","377","Combat Sports"
"active:fitness:pilates","385","Gyms and Fitness Centers"
"active:fitness:swimminglessons","413","Swimming"
"active:fitness:yoga","414","Yoga and Pilates"
"active:football","404","Soccer"
"active:gokarts","400","Recreation Centers"
"active:golf","451","Golf Courses"
"active:gun_ranges","383","Gun Ranges"
"active:gymnastics","384","Gymnastics"
"active:hiking","170","Sporting Goods"
"active:horsebackriding","380","Equestrian"
"active:horseracing","75","Medical Supplies and Labs"
"active:hot_air_balloons","217","Events and Event Planning"
"active:lasertag","319","Amusement Parks"
"active:leisure_centers","451","Golf Courses"
"active:mini_golf","451","Golf Courses"
"active:mountainbiking","170","Sporting Goods"
"active:paddleboarding","173","Toys"
"active:paintball","406","Stadiums and Arenas"
"active:parks","118","Parks"
"active:playgrounds","177","Businesses and Services"
"active:rafting","411","Rafting"
"active:recreation","385","Gyms and Fitness Centers"
"active:rock_climbing","392","Rock Climbing"
"active:skatingrinks","402","Skating"
"active:skydiving","440","Travel Agents and Tour Operators"
"active:spinclasses","106","Weight Loss and Nutritionists"
"active:sports_clubs","385","Gyms and Fitness Centers"
"active:summer_camps","432","Lodging"
"active:surfing","452","Surfing"
"active:swimmingpools","260","Pools and Spas"
"active:tennis","170","Sporting Goods"
"active:trampoline","400","Recreation Centers"
"active:tubing","438","Resorts"
"active:zoos","371","Zoos, Aquariums and Wildlife Sanctuaries"
"auto","4","Car Dealers and Leasing"
"auto:auto_detailing","7","Car Wash and Detail"
"auto:autoglass","6","Car Parts and Accessories"
"auto:autoloanproviders","272","Insurance"
"auto:autopartssupplies","6","Car Parts and Accessories"
"auto:autorepair","9","Maintenance and Repair"
"auto:boatdealers","409","Boating"
"auto:bodyshops","9","Maintenance and Repair"
"auto:car_dealers","4","Car Dealers and Leasing"
"auto:carwash","7","Car Wash and Detail"
"auto:motorcycledealers","16","Sales"
"auto:motorcyclerepair","6","Car Parts and Accessories"
"auto:oilchange","10","Oil and Lube"
"auto:rv_dealers","17","RVs and Motor Homes"
"auto:servicestations","417","Gas Stations"
"auto:smog_check_stations","6","Car Parts and Accessories"
"auto:stereo_installation","6","Car Parts and Accessories"
"auto:tires","12","Tires"
"auto:towing","19","Towing"
"auto:truck_rental","4","Car Dealers and Leasing"
"auto:windshieldinstallrepair","6","Car Parts and Accessories"
"beautysvc","280","Beauty Salons and Barbers"
"beautysvc:barbers","280","Beauty Salons and Barbers"
"beautysvc:cosmetics","128","Beauty Products"
"beautysvc:eyelashservice","280","Beauty Salons and Barbers"
"beautysvc:hair","280","Beauty Salons and Barbers"
"beautysvc:hair:hair_extensions","280","Beauty Salons and Barbers"
"beautysvc:hair:hairstylists","280","Beauty Salons and Barbers"
"beautysvc:hair:menshair","280","Beauty Salons and Barbers"
"beautysvc:hair_extensions","312","Bars"
"beautysvc:hairremoval","279","Hair Removal"
"beautysvc:hairremoval:laser_hair_removal","280","Beauty Salons and Barbers"
"beautysvc:massage","282","Massage Clinics and Therapists"
"beautysvc:medicalspa","285","Spas"
"beautysvc:othersalons","281","Manicures and Pedicures"
"beautysvc:piercing","287","Tattooing"
"beautysvc:skincare","285","Spas"
"beautysvc:spas","285","Spas"
"beautysvc:tanning","286","Tanning Salons"
"beautysvc:tanning:spraytanning","286","Tanning Salons"
"beautysvc:tanning:tanningbeds","286","Tanning Salons"
"beautysvc:tattoo","287","Tattooing"
"education","34","Primary and Secondary Schools"
"education:adultedu","34","Primary and Secondary Schools"
"education:collegecounseling","178","Business and Strategy Consulting"
"education:collegeuniv","29","Colleges and Universities"
"education:educationservices","35","Tutoring and Educational Services"
